UsahaID	Nama	Alamat	Southing	Easting
77	CV. DEQCINDO	"PERUM. ARGOMULYO BLOK C/53 RT 003 RW 010, KEL. LEDOK, KEC. ARGOMULYO, SALATIGA"	-7.35284	110.50527
78	CV. FAJAR MULIA	"JATEN BARU RT 04 RW 09, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	-7.34621	110.50527
79	CV. CIPTA SWADAYA	"JL. KH. AHMAD DAHLAN 117, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.32049	110.49647
89	CV. RIZKY JAYA	"JL. HASANUDIN 66, KEL. MANGUNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.3436	110.4955
90	PT. AGUNG JAYA MAKMUR	"JL. DIPONEGORO 150 RT 01 RW 06, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.31395	110.49395
91	PT. PUTRA PERWIRA TAMA	"JL. MERDEKA SELATAN III/09 RT 03 RW 07, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.31595	110.49595
92	PT. FORMULATRIX INDONESIA	"JL. SOEKARNO HATTA 121, KEL. CEBONGAN, KEC. ARGOMUKYO, SALATIGA"	-7.35385	110.51545
93	PT. ADA BARU JAYA MANDIRI	"JL. JEND.SUDIRMAN 20 RT 01 RW 02, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.32854	110.50386
94	PT. REKA GADING LESTARI	"JL. JEND. SUDIRMAN 252, KEL. GENDONGAN, KEC. TINGKIR, SALATIGA"	-7.33075	110.50561
95	PT. INDOMARCO PRISMATAMA	"JL. IMAM BONJOL 9, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA "	-7.32205	110.49555
96	PT. PESONA NATASHA GEMILANG	"RUKO KALOKA, JL. PATIMURA 15-16, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA "	-7.32403	110.50465
97	PT. YATIN BANGUN ABADI	"JL. ARGOSARI RAYA 91, KEL. RANDUACIR, KEC. ARGOMULYO, SALATIGA"	-7.35886	110.50447
98	MODHESTA BARIKFINA PRODUCTION	"PERUM. TELAGA MUKTI II RT 03 RW 09, KEL. TINGKIR TENGAH, KEC. TINGKIR, SALATIGA"	-7.35789	110.51675
99	MUZAFFAR MOTOR	"WINONG RT 03 RW 01, KEL. KECANDRAN, KEC. SIDOMUKTI, SALATIGA"	-7.31995	110.46635
100	TOKO NYLA	"JL. BENOYO RT 08 RW 06, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.32323	110.50953
101	SURONO HELM	"JL. AHMAD YANI NO. 36/40, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.33628	110.50466
102	TOKO SENAPAN ANGIN MATADOR	"JL. SUROWIJOYO II RT 02 RW 13, PENGILON, KEL. MANGNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.33433	110.49515
103	UD. UNGGUL	"JL. PATIMURA RT 007 RW 008, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.31333	110.50303
104	AWAN PUTIH	"JL. KESAMBI 15 RT 02 RW 03, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.33077	110.50355
105	TOKO SMESCO HASANUDIN	"JL. HASANUDIN 79 RT 03 RW 06, KEL. MANGUNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.33577	110.50555
106	BATIK KENCANA SAKTI	"JL. MERDEKA UTARA I A NO 1, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.31535	110.50505
107	SPBU 44 507 11 JETIS	"JL. IMAM BONJOL NO 27, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.32022	110.49421
108	CV. LANGGENG RAHAYU	"DSN NGAMPEL RT 03 RW 04, KEL. BLOTONGAN, KEC. SIDOREJO, SALATIGA"	-7.30202	110.48269
109	CV. PLUMPUNGAN INDAH SEJAHTERA	"JL. KI PENJAWI IV/2 RT 04 RW 11, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.35095	110.5069
110	CV. SALUR BERKAT SEJATI	"JL. KI PENJAWI IV/2 RT 04 RW 11, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.31002	110.49152
111	CV. FAZA ARTHA GEMILANG	"PERUM. GONDANG SARI, JL. MANGGARSARI 5 RT 03 RW 04, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	-7.34769	110.5039
112	CV. TRI MITRA SEJATI	"JL. PLONGKOWATI 10, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	-7.34354	110.50075
113	CV. SYAKURA MAHESWARA	"JL. PLONGKOWATI 1, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	7.34465	110.5018
114	CV. ANUGERAH INDAH	"PERUM TELAGA MUKTI II/L-3 RT 03 RW 09, KEL. TINGKIR TENGAH, KEC. TINGKIR, SALATIGA"	-7.31434	110.50404
115	CV. ARINTA FAZA	"JL. KEMIRI III/24, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.31522	110.50079
116	PT. GRAND WAHID	"JL. JEND. SUDIRMAN 2, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.3259	110.50494
117	PT. BRINGIN HANJAYA SEJAHTERA	"JL. JEND. SUDIRMAN 160, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.3279	110.50694
119	PT. RUTIN MAKMUR NUSANTARA	"JL. BUK SULING 16, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.32599	110.50678
120	M. Eko Fitriyanto	"Jl. Wahid Hasyim 4 B Kauman, Kel. Sidorejo Lor, Kec. Sidomukti, Salatiga"	-7.31539	110.49161
121	Globo Intraco	"Jl. Tegalrejo Raya 100, Kel. Tegalrejo, Kec. Argomulyo, Salatiga"	-7.34185	110.50092
122	Toko Sido Mumbul	"Jl. Jend. Sudirman 58, Kel. Kalicacing, Kec. Sidomukti, Salatiga"	-7.33013	110.50381
123	Toko Moro Seneng	"Jl. Jend. Sudirman 62, Kel. Kalicacing, Kec. Sidomukti, Salatiga"	-7.3174	110.49365
124	Key Key Accessories	"Terminal Angkot Tamansari Kios 2, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.31327	110.49227
